Date,Open,High,Low,Close,Adj Close,Volume
2013-04-16,19.684435,19.91992,19.617619,19.854103,19.854103,69610320
2013-04-17,19.688438,19.790791,19.471972,19.583584,19.583584,81398520
2013-04-18,19.653402,19.664665,19.05055,19.166918,19.166918,132767100
2013-04-19,19.248247,20.106106,19.175676,20.016768,20.016768,231895872
2013-04-22,20.035034,20.11912,19.394394,20.022774,20.022774,115220664
2013-04-23,20.045046,20.407907,20.02903,20.217718,20.217718,91600308
2013-04-24,20.222973,20.47047,20.220221,20.356607,20.356607,73090836
2013-04-25,20.426678,20.432182,20.21096,20.247747,20.247747,79608312
2013-04-26,20.210211,20.213715,19.934435,20.055555,20.055555,99408492
2013-04-29,20.101351,20.588087,20.095095,20.496998,20.496998,91939968
2013-04-30,20.495495,20.711712,20.462461,20.634886,20.634886,92175732
2013-05-01,20.602102,20.638639,20.429428,20.531281,20.531281,58141800
2013-05-02,20.523024,20.884636,20.496746,20.761011,20.761011,80651268
2013-05-03,20.944944,21.191191,20.920921,21.164164,21.164164,100403496
2013-05-06,21.227728,21.567818,21.227728,21.56031,21.56031,85566348
2013-05-07,21.596848,21.618368,21.288038,21.452202,21.452202,78281640
2013-05-08,21.446445,21.86887,21.344093,21.862614,21.862614,98633268
2013-05-09,21.792793,22.013514,21.727476,21.808809,21.808809,87935976
2013-05-10,21.904655,22.035536,21.825827,22.027779,22.027779,75832092
2013-05-13,21.994244,22.083834,21.856356,21.960211,21.960211,57882060
2013-05-14,21.959459,22.239489,21.950451,22.199699,22.199699,63108828
2013-05-15,22.40991,22.932432,22.372873,22.92017,22.92017,159276564
2013-05-16,22.997997,23.022524,22.572823,22.61937,22.61937,128255616
2013-05-17,22.773273,22.860109,22.535536,22.752253,22.752253,111568320
2013-05-20,22.647648,23.038038,22.647648,22.735987,22.735987,90817092
2013-05-21,22.723223,22.814314,22.462713,22.696947,22.696947,79240680
2013-05-22,22.586588,22.755507,22.194195,22.257757,22.257757,102321576
2013-05-23,21.946947,22.271271,21.871872,22.091843,22.091843,90912996
2013-05-24,21.903402,21.992493,21.797047,21.854855,21.854855,91780128
2013-05-28,22.10961,22.325827,22.032032,22.053804,22.053804,90209700
2013-05-29,21.914665,21.971722,21.62888,21.729479,21.729479,80455464
2013-05-30,21.76977,21.994493,21.681932,21.790791,21.790791,84743172
2013-05-31,21.724726,21.946947,21.709709,21.802301,21.802301,78697224
2013-06-03,21.846848,21.87112,21.396896,21.712461,21.712461,98928972
2013-06-04,21.717968,21.786537,21.373123,21.498999,21.498999,74669256
2013-06-05,21.584333,21.758007,21.449699,21.514013,21.514013,84187728
2013-06-06,21.629129,21.67993,21.201702,21.637638,21.637638,103060836
2013-06-07,21.782282,22.022022,21.654655,22.015265,22.015265,106877016
2013-06-10,22.074575,22.297297,22.024275,22.277779,22.277779,93418488
2013-06-11,22.12137,22.197197,22.01001,22.017267,22.017267,70233696
2013-06-12,22.158659,22.172173,21.763014,21.821321,21.821321,88103808
2013-06-13,21.746246,22.013514,21.659159,21.946947,21.946947,82713204
2013-06-14,22.024525,22.139641,21.875126,21.897898,21.897898,89710200
2013-06-17,22.002752,22.258007,21.978979,22.178429,22.178429,85766148
2013-06-18,22.238487,22.547548,22.230982,22.538038,22.538038,86589324
2013-06-19,22.556807,22.793795,22.459961,22.539539,22.539539,116519364
2013-06-20,22.372122,22.547548,22.104855,22.14064,22.14064,134745120
2013-06-21,22.23073,22.26927,21.848598,22.045296,22.045296,159132708
2013-06-24,21.818819,21.92993,21.602854,21.766518,21.766518,120555324
2013-06-25,21.953453,22.014013,21.634384,21.676678,21.676678,102025872
2013-06-26,21.865616,21.971972,21.786036,21.863113,21.863113,73182744
2013-06-27,21.991993,22.139389,21.938189,21.9487,21.9487,76982940
2013-06-28,21.894394,22.068068,21.876627,22.031281,22.031281,93878028
2013-07-01,22.183434,22.324324,22.147146,22.219219,22.219219,68923008
2013-07-02,22.277277,22.297297,21.953705,22.07983,22.07983,75584340
2013-07-03,22.01952,22.251501,21.984484,22.182934,22.182934,41838120
2013-07-05,22.272524,22.407658,22.205706,22.35961,22.35961,68007924
2013-07-08,22.502752,22.679428,22.44945,22.6499,22.6499,78701220
2013-07-09,22.797798,22.846598,22.471972,22.653654,22.653654,79096824
2013-07-10,22.608858,22.8013,22.532032,22.672422,22.672422,68267664
2013-07-11,22.847849,23.043293,22.735737,23.02903,23.02903,103264632
2013-07-12,23.023024,23.098099,22.903904,23.098099,23.098099,102625272
2013-07-15,23.13063,23.223223,22.931932,23.14039,23.14039,78341580
2013-07-16,23.20145,23.222471,22.870371,23.013264,23.013264,79240680
2013-07-17,23.048048,23.194695,22.930429,22.986736,22.986736,60183756
2013-07-18,22.997747,23.023024,22.602352,22.789789,22.789789,145234620
2013-07-19,22.187437,22.596346,21.912163,22.437437,22.437437,294077628
2013-07-22,22.572573,22.83959,22.447447,22.790291,22.790291,116011872
2013-07-23,22.790291,22.847849,22.511763,22.617619,22.617619,81746172
2013-07-24,22.704205,22.780279,22.540039,22.595095,22.595095,83056860
2013-07-25,22.36912,22.443693,22.174173,22.214714,22.214714,119923956
2013-07-26,22.196947,22.272022,22.072071,22.155907,22.155907,71036892
2013-07-29,22.144646,22.392893,22.044294,22.078829,22.078829,75600324
2013-07-30,22.158659,22.412663,22.043795,22.295296,22.295296,70153776
2013-07-31,22.347097,22.435184,22.176678,22.215965,22.215965,86853060
2013-08-01,22.397396,22.636387,22.397396,22.628128,22.628128,85450464
2013-08-02,22.608608,22.697699,22.543043,22.686937,22.686937,68487444
2013-08-05,22.657408,22.660662,22.502502,22.647648,22.647648,52335612
2013-08-06,22.639891,22.765516,22.415667,22.436687,22.436687,60183756
2013-08-07,22.398397,22.483734,22.249498,22.28854,22.28854,55112832
2013-08-08,22.40966,22.418419,22.154404,22.338839,22.338839,59460480
2013-08-09,22.286285,22.41041,22.272272,22.282534,22.282534,52895052
2013-08-12,22.194695,22.197197,22.063313,22.15991,22.15991,55024920
2013-08-13,22.192944,22.234735,21.926928,22.053303,22.053303,56735208
2013-08-14,21.981232,22.027779,21.700701,21.767017,21.767017,83204712
2013-08-15,21.632633,21.644646,21.471472,21.513014,21.513014,74693232
2013-08-16,21.553555,21.582582,21.434935,21.444195,21.444195,66936996
2013-08-19,21.464214,21.821821,21.457708,21.662912,21.662912,72363564
2013-08-20,21.73048,21.824575,21.610109,21.657158,21.657158,49270680
2013-08-21,21.788038,21.944695,21.684183,21.755005,21.755005,70221708
2013-08-22,21.839338,21.89064,21.778028,21.864614,21.864614,34761204
2013-08-23,21.967718,21.971972,21.765516,21.777027,21.777027,43040916
2013-08-26,21.771772,21.894394,21.672922,21.681431,21.681431,42057900
2013-08-27,21.512012,21.614864,21.218719,21.275024,21.275024,69294636
2013-08-28,21.277529,21.406656,21.215466,21.234985,21.234985,53142804
2013-08-29,21.247997,21.531031,21.235987,21.407158,21.407158,59080860
2013-08-30,21.415415,21.472471,21.16016,21.193693,21.193693,74389536
2013-09-03,21.380381,21.676426,21.370119,21.531031,21.531031,81822096
2013-09-04,21.530279,21.85936,21.400652,21.812563,21.812563,81566352
2013-09-05,21.85936,22.019018,21.812061,22.011011,22.011011,51600348
2013-09-06,22.083082,22.116617,21.865364,22.011513,22.011513,62401536
2013-09-09,22.115364,22.266016,22.082582,22.223473,22.223473,49334616
2013-09-10,22.272774,22.322323,22.122122,22.238989,22.238989,51452496
2013-09-11,22.235737,22.446697,22.174173,22.427177,22.427177,64359576
2013-09-12,22.457457,22.469971,22.272524,22.348848,22.348848,43776180
2013-09-13,22.384886,22.414413,22.143143,22.248999,22.248999,52962984
2013-09-16,22.427427,22.447447,22.143894,22.216215,22.216215,53406540
2013-09-17,22.207457,22.231981,22.047047,22.174925,22.174925,50325624
2013-09-18,22.180931,22.621872,22.098848,22.605606,22.605606,77310612
2013-09-19,22.672422,22.672422,22.407408,22.482231,22.482231,63852084
2013-09-20,22.482231,22.625875,22.412912,22.600349,22.600349,173638188
2013-09-23,22.426176,22.562311,22.152151,22.184685,22.184685,71024904
2013-09-24,22.184685,22.274775,22.057056,22.193193,22.193193,59412528
2013-09-25,22.185936,22.185936,21.911913,21.952703,21.952703,65894040
2013-09-26,21.979479,22.090841,21.896896,21.976227,21.976227,50345604
2013-09-27,21.892391,21.959961,21.804556,21.931683,21.931683,50301648
2013-09-30,21.748749,22.043043,21.729479,21.91967,21.91967,68827104
2013-10-01,22.028278,22.213964,22.023273,22.197197,22.197197,67324608
2013-10-02,22.09034,22.256256,21.967466,22.221972,22.221972,59752188
2013-10-03,22.222221,22.374874,21.824324,21.924173,21.924173,84595320
2013-10-04,21.896896,21.959709,21.771772,21.830582,21.830582,54265680
2013-10-07,21.707958,21.871622,21.624374,21.665165,21.665165,51692256
2013-10-08,21.654655,21.671171,21.312061,21.363113,21.363113,77670252
2013-10-09,21.428429,21.587837,21.095596,21.417917,21.417917,105945948
2013-10-10,21.617619,21.742493,21.526777,21.727728,21.727728,90121788
2013-10-11,21.672422,21.858858,21.654154,21.821571,21.821571,56299644
2013-10-14,21.688189,21.928179,21.656406,21.924675,21.924675,49694256
2013-10-15,21.915916,22.162912,21.871872,22.072323,22.072323,63612324
2013-10-16,22.168919,22.48073,22.122372,22.473223,22.473223,80223696
2013-10-17,22.347097,22.444944,22.165415,22.241993,22.241993,170093736
2013-10-18,24.438938,25.411913,24.374374,25.31056,25.31056,462193344
2013-10-21,25.311811,25.500502,25.013763,25.107609,25.107609,144986868
2013-10-22,25.15015,25.350349,24.91967,25.200199,25.200199,88255656
2013-10-23,25.050051,25.894646,25.040791,25.811062,25.811062,106421472
2013-10-24,25.822573,26.040291,25.645645,25.664413,25.664413,83600316
2013-10-25,25.746246,25.746246,25.293795,25.405405,25.405405,81138780
2013-10-28,25.405405,25.611361,25.3501,25.4004,25.4004,46301652
2013-10-29,25.503002,25.94945,25.362864,25.931932,25.931932,64135800
2013-10-30,25.961712,25.963715,25.675676,25.786285,25.786285,52911036
2013-10-31,25.748999,26.064064,25.624874,25.790291,25.790291,65534400
2013-11-01,25.820572,25.925926,25.653152,25.701702,25.701702,51280668
2013-11-04,25.813313,25.835085,25.576326,25.678429,25.678429,45506448
2013-11-05,25.534285,25.817066,25.46096,25.563564,25.563564,47208744
2013-11-06,25.665667,25.700701,25.40966,25.594343,25.594343,36479484
2013-11-07,25.590841,25.623875,25.216215,25.223974,25.223974,67116816
2013-11-08,25.243994,25.487988,25.237738,25.426176,25.426176,51580368
2013-11-11,25.263014,25.423674,25.225225,25.290039,25.290039,44459496
2013-11-12,25.217718,25.464464,25.15015,25.31982,25.31982,48675276
2013-11-13,25.193945,25.847097,25.187689,25.837587,25.837587,63112824
2013-11-14,25.873875,26.01977,25.784534,25.906656,25.906656,46621332
2013-11-15,25.897648,25.975977,25.783533,25.864864,25.864864,51000948
2013-11-18,25.91967,26.244745,25.756758,25.814566,25.814566,70317612
2013-11-19,25.818819,25.894646,25.601852,25.655657,25.655657,45218736
2013-11-20,25.774525,25.859859,25.534534,25.583332,25.583332,38509452
2013-11-21,25.700701,25.983734,25.675676,25.877628,25.877628,43628328
2013-11-22,25.861361,25.93018,25.756256,25.823072,25.823072,50117832
2013-11-25,25.954954,26.356106,25.901402,26.174423,26.174423,64455480
2013-11-26,26.241241,26.564064,26.0996,26.486736,26.486736,91360548
2013-11-27,26.577328,26.726727,26.526527,26.604355,26.604355,44899056
2013-11-29,26.580582,26.692192,26.512762,26.516266,26.516266,47664288
2013-12-02,26.614365,26.685434,26.295296,26.388388,26.388388,54873072
2013-12-03,26.300051,26.612614,26.251753,26.357859,26.357859,66976956
2013-12-04,26.31056,26.626125,26.276276,26.480982,26.480982,47616336
2013-12-05,26.456455,26.518019,26.303555,26.459961,26.459961,45302652
2013-12-06,26.771523,26.776777,26.528528,26.773523,26.773523,57094848
2013-12-09,26.801552,27.084835,26.727226,26.98048,26.98048,59244696
2013-12-10,26.930681,27.335085,26.918167,27.143644,27.143644,74081844
2013-12-11,27.212212,27.31031,26.906157,26.959209,26.959209,68403528
2013-12-12,27.016266,27.100601,26.751753,26.775776,26.775776,63796140
2013-12-13,26.911913,26.934183,26.473724,26.546295,26.546295,86409504
2013-12-16,26.626627,26.894144,26.576826,26.851351,26.851351,64015920
2013-12-17,26.847347,27.046045,26.736237,26.773273,26.773273,61366572
2013-12-18,26.823072,27.150902,26.502502,27.145897,27.145897,88323588
2013-12-19,27.046295,27.327078,27.004004,27.182684,27.182684,66561372
2013-12-20,27.234735,27.556807,27.227226,27.543043,27.543043,130333536
2013-12-23,27.723724,27.922922,27.655657,27.905405,27.905405,68795136
2013-12-24,27.902151,27.908909,27.73023,27.823824,27.823824,29338632
2013-12-26,27.878128,28.003002,27.744995,27.964464,27.964464,53458488
2013-12-27,28.028028,28.035034,27.851351,27.987988,27.987988,62725212
2013-12-30,28.036537,28.040541,27.753254,27.764263,27.764263,49394556
2013-12-31,27.833834,28.053053,27.684183,28.045795,28.045795,54261684
2014-01-02,27.914413,27.971722,27.734234,27.855856,27.855856,72783144
2014-01-03,27.902903,27.9512,27.650902,27.652653,27.652653,66601332
2014-01-06,27.853104,27.999498,27.688688,27.96096,27.96096,70701228
2014-01-07,28.153152,28.520771,28.057056,28.5,28.5,102001896
2014-01-08,28.678679,28.711712,28.360611,28.559309,28.559309,89610300
